subjectID	optionA	optionB	quantityA	quantityB	sideA
79911f60	Grass	Sunset	0	1	right
79911f60	House	Sunset	1	0	right
79911f60	Sunset	Timber	1	0	right
79911f60	Grass	Monkey	1	0	left
79911f60	Food	Monkey	1	0	left
79911f60	Monkey	Timber	1	0	left
79911f60	Timber	Flowers	0	1	left
79911f60	Food	Sunset	0	1	right
79911f60	Food	Timber	1	0	left
79911f60	Grass	Timber	1	0	right
79911f60	Sunset	Flowers	0	1	left
79911f60	Monkey	Flowers	0	1	left
79911f60	House	Timber	1	0	right
79911f60	Food	Grass	0	1	left
79911f60	Food	Flowers	0	1	right
79911f60	Monkey	Sunset	0	1	left
79911f60	Food	House	0	1	right
79911f60	Grass	House	1	0	left
79911f60	House	Monkey	1	0	left
79911f60	House	Flowers	0	1	left
79911f60	Grass	Flowers	0	1	left
28738125	Monkey	Sunset	0	1	left
28738125	Timber	Flowers	0	1	left
28738125	Sunset	Flowers	1	0	right
28738125	Monkey	Flowers	0	1	right
28738125	Food	Sunset	1	0	left
28738125	Grass	Monkey	1	0	left
28738125	House	Sunset	1	0	right
28738125	Food	Monkey	1	0	left
28738125	House	Flowers	0	1	right
28738125	House	Monkey	1	0	left
28738125	Food	Flowers	1	0	left
28738125	Food	Timber	1	0	left
28738125	Grass	House	1	0	left
28738125	Grass	Flowers	1	0	left
28738125	Monkey	Timber	0	1	right
28738125	Grass	Sunset	0	1	left
28738125	Grass	Timber	1	0	left
28738125	House	Timber	0	1	right
28738125	Food	Grass	1	0	right
28738125	Sunset	Timber	1	0	right
28738125	Food	House	1	0	right
aebdc475	Food	Flowers	0	1	right
aebdc475	Monkey	Flowers	0	1	right
aebdc475	Monkey	Sunset	0	1	right
aebdc475	Grass	Sunset	0	1	right
aebdc475	Grass	Monkey	1	0	left
aebdc475	Food	House	0	1	right
aebdc475	House	Flowers	0	1	left
aebdc475	Grass	Flowers	0	1	left
aebdc475	House	Monkey	1	0	right
aebdc475	Food	Timber	0	1	right
aebdc475	House	Sunset	0	1	left
aebdc475	Sunset	Flowers	0	1	left
aebdc475	Monkey	Timber	0	1	right
aebdc475	Sunset	Timber	1	0	left
aebdc475	House	Timber	1	0	right
aebdc475	Food	Sunset	0	1	right
aebdc475	Grass	Timber	0	1	right
aebdc475	Timber	Flowers	0	1	right
aebdc475	Food	Monkey	0	1	left
aebdc475	Grass	House	0	1	left
aebdc475	Food	Grass	0	1	left
993f5e57	Monkey	Sunset	0	1	right
993f5e57	Food	Monkey	1	0	right
993f5e57	Monkey	Timber	0	1	left
993f5e57	Timber	Flowers	0	1	left
993f5e57	House	Monkey	1	0	right
993f5e57	Sunset	Timber	1	0	right
993f5e57	Food	Sunset	0	1	right
993f5e57	Sunset	Flowers	1	0	left
993f5e57	House	Flowers	0	1	right
993f5e57	House	Sunset	0	1	left
993f5e57	Food	Grass	0	1	left
993f5e57	Food	Timber	1	0	left
993f5e57	Grass	Sunset	0	1	right
993f5e57	Grass	House	1	0	left
993f5e57	Food	Flowers	1	0	left
993f5e57	Grass	Flowers	0	1	right
993f5e57	Monkey	Flowers	0	1	left
993f5e57	Food	House	1	0	right
993f5e57	House	Timber	0	1	left
993f5e57	Grass	Monkey	1	0	left
993f5e57	Grass	Timber	1	0	right
db7158b6	Grass	Sunset	1	0	right
db7158b6	Food	Sunset	1	0	right
db7158b6	Grass	Flowers	1	0	left
db7158b6	Monkey	Timber	0	1	right
db7158b6	House	Flowers	1	0	right
db7158b6	Food	Monkey	1	0	right
db7158b6	Grass	Timber	1	0	left
db7158b6	House	Sunset	0	1	left
db7158b6	Sunset	Timber	0	1	left
db7158b6	Monkey	Sunset	1	0	left
db7158b6	Grass	Monkey	1	0	left
db7158b6	Food	Grass	0	1	right
db7158b6	Food	Flowers	1	0	right
db7158b6	Monkey	Flowers	1	0	right
db7158b6	Food	House	1	0	right
db7158b6	Food	Timber	0	1	right
db7158b6	Grass	House	1	0	left
db7158b6	House	Monkey	0	1	left
db7158b6	Sunset	Flowers	0	1	left
db7158b6	Timber	Flowers	1	0	right
db7158b6	House	Timber	0	1	right
1012e88e	Timber	Flowers	0	1	left
1012e88e	Food	Grass	0	1	right
1012e88e	Food	Monkey	0	1	right
1012e88e	Monkey	Timber	0	1	right
1012e88e	Monkey	Flowers	0	1	left
1012e88e	Food	Flowers	0	1	left
1012e88e	Food	House	0	1	left
1012e88e	House	Sunset	1	0	left
1012e88e	Food	Timber	0	1	right
1012e88e	Sunset	Flowers	0	1	left
1012e88e	Grass	Sunset	1	0	right
1012e88e	Sunset	Timber	0	1	right
1012e88e	Monkey	Sunset	0	1	left
1012e88e	House	Monkey	1	0	left
1012e88e	Grass	Flowers	1	0	left
1012e88e	Grass	Timber	1	0	right
1012e88e	House	Flowers	1	0	right
1012e88e	Food	Sunset	0	1	right
1012e88e	House	Timber	1	0	left
1012e88e	Grass	Monkey	1	0	left
1012e88e	Grass	House	1	0	left
74bf95cf	Grass	Monkey	0	1	right
74bf95cf	House	Monkey	1	0	left
74bf95cf	Timber	Flowers	0	1	left
74bf95cf	Monkey	Timber	0	1	left
74bf95cf	Food	House	1	0	right
74bf95cf	Grass	Flowers	0	1	right
74bf95cf	Grass	Timber	1	0	left
74bf95cf	Sunset	Flowers	1	0	left
74bf95cf	Food	Grass	1	0	right
74bf95cf	Food	Monkey	1	0	left
74bf95cf	Grass	Sunset	0	1	right
74bf95cf	Food	Flowers	1	0	right
74bf95cf	House	Sunset	1	0	right
74bf95cf	Monkey	Flowers	0	1	left
74bf95cf	Monkey	Sunset	0	1	left
74bf95cf	Grass	House	1	0	left
74bf95cf	House	Timber	1	0	left
74bf95cf	Sunset	Timber	1	0	left
74bf95cf	Food	Timber	1	0	left
74bf95cf	Food	Sunset	0	1	right
74bf95cf	House	Flowers	0	1	left
5e61c1fc	Food	Sunset	0	1	left
5e61c1fc	Grass	House	0	1	left
5e61c1fc	Sunset	Timber	1	0	right
5e61c1fc	Monkey	Timber	1	0	left
5e61c1fc	Monkey	Sunset	1	0	right
5e61c1fc	Food	Flowers	0	1	left
5e61c1fc	Timber	Flowers	0	1	right
5e61c1fc	House	Flowers	0	1	right
5e61c1fc	Grass	Monkey	1	0	right
5e61c1fc	Food	Monkey	0	1	left
5e61c1fc	House	Sunset	0	1	right
5e61c1fc	Grass	Flowers	1	0	left
5e61c1fc	Grass	Timber	1	0	right
5e61c1fc	Food	Grass	0	1	left
5e61c1fc	House	Timber	0	1	left
5e61c1fc	Grass	Sunset	1	0	left
5e61c1fc	Food	House	0	1	left
5e61c1fc	Monkey	Flowers	1	0	left
5e61c1fc	House	Monkey	0	1	right
5e61c1fc	Food	Timber	1	0	right
5e61c1fc	Sunset	Flowers	0	1	left
fed4c6e0	Food	Grass	0	1	right
fed4c6e0	House	Flowers	0	1	left
fed4c6e0	House	Sunset	0	1	left
fed4c6e0	Grass	House	1	0	left
fed4c6e0	Monkey	Sunset	0	1	left
fed4c6e0	Monkey	Timber	0	1	left
fed4c6e0	Grass	Monkey	1	0	right
fed4c6e0	Food	Timber	0	1	left
fed4c6e0	Grass	Flowers	0	1	left
fed4c6e0	Sunset	Timber	0	1	left
fed4c6e0	Sunset	Flowers	1	0	left
fed4c6e0	Timber	Flowers	1	0	right
fed4c6e0	House	Timber	0	1	left
fed4c6e0	Grass	Sunset	1	0	right
fed4c6e0	Monkey	Flowers	0	1	right
fed4c6e0	Food	House	0	1	right
fed4c6e0	Food	Sunset	0	1	right
fed4c6e0	Food	Flowers	0	1	right
fed4c6e0	Food	Monkey	0	1	left
fed4c6e0	Grass	Timber	1	0	right
fed4c6e0	House	Monkey	0	1	left
71250244	Monkey	Sunset	0	1	left
71250244	Food	Sunset	0	1	left
71250244	Food	Grass	0	1	left
71250244	Monkey	Flowers	0	1	left
71250244	House	Sunset	1	0	right
71250244	Food	Monkey	0	1	left
71250244	Grass	Sunset	0	1	right
71250244	Monkey	Timber	0	1	right
71250244	House	Flowers	0	1	right
71250244	Grass	Flowers	0	1	right
71250244	House	Timber	1	0	right
71250244	House	Monkey	1	0	left
71250244	Sunset	Flowers	0	1	left
71250244	Food	Flowers	0	1	right
71250244	Food	Timber	0	1	right
71250244	Timber	Flowers	0	1	left
71250244	Food	House	0	1	right
71250244	Sunset	Timber	1	0	left
71250244	Grass	Timber	0	1	left
71250244	Grass	House	1	0	left
71250244	Grass	Monkey	1	0	left
bdfac027	Timber	Flowers	0	1	left
bdfac027	Grass	Monkey	1	0	right
bdfac027	Food	Grass	0	1	right
bdfac027	House	Timber	1	0	right
bdfac027	Grass	House	0	1	left
bdfac027	House	Monkey	1	0	left
bdfac027	Monkey	Sunset	1	0	left
bdfac027	Monkey	Timber	0	1	left
bdfac027	Sunset	Timber	0	1	right
bdfac027	Food	Sunset	1	0	left
bdfac027	Grass	Sunset	1	0	right
bdfac027	Grass	Flowers	0	1	right
bdfac027	Food	Flowers	0	1	right
bdfac027	House	Sunset	1	0	left
bdfac027	Food	Timber	0	1	left
bdfac027	Food	Monkey	0	1	right
bdfac027	Monkey	Flowers	0	1	right
bdfac027	House	Flowers	1	0	right
bdfac027	Sunset	Flowers	0	1	right
bdfac027	Grass	Timber	1	0	right
bdfac027	Food	House	0	1	left
28bb69a1	House	Monkey	1	0	left
28bb69a1	Sunset	Flowers	0	1	right
28bb69a1	Grass	Monkey	1	0	left
28bb69a1	Grass	House	0	1	right
28bb69a1	Food	Sunset	1	0	right
28bb69a1	Monkey	Flowers	0	1	left
28bb69a1	House	Sunset	1	0	left
28bb69a1	Grass	Sunset	1	0	right
28bb69a1	Food	Flowers	0	1	right
28bb69a1	Food	Grass	0	1	right
28bb69a1	Sunset	Timber	0	1	right
28bb69a1	House	Flowers	1	0	left
28bb69a1	Monkey	Timber	0	1	right
28bb69a1	Timber	Flowers	0	1	right
28bb69a1	Food	Monkey	0	1	right
28bb69a1	Grass	Timber	1	0	left
28bb69a1	Food	Timber	0	1	left
28bb69a1	Grass	Flowers	1	0	left
28bb69a1	House	Timber	1	0	left
28bb69a1	Food	House	0	1	right
28bb69a1	Monkey	Sunset	1	0	left
c74a3430	House	Monkey	0	1	right
c74a3430	Food	Sunset	0	1	right
c74a3430	House	Flowers	0	1	left
c74a3430	Grass	Timber	1	0	right
c74a3430	Monkey	Sunset	1	0	right
c74a3430	Food	Flowers	0	1	left
c74a3430	Food	House	0	1	right
c74a3430	Grass	Flowers	0	1	right
c74a3430	Grass	Sunset	0	1	left
c74a3430	House	Sunset	0	1	left
c74a3430	Monkey	Flowers	0	1	left
c74a3430	Food	Timber	1	0	left
c74a3430	Sunset	Timber	1	0	right
c74a3430	Grass	House	1	0	left
c74a3430	Food	Grass	0	1	right
c74a3430	Monkey	Timber	0	1	left
c74a3430	Food	Monkey	0	1	left
c74a3430	Timber	Flowers	0	1	left
c74a3430	Grass	Monkey	1	0	left
c74a3430	House	Timber	1	0	right
c74a3430	Sunset	Flowers	1	0	left
a72f007f	Food	Flowers	0	1	right
a72f007f	Grass	Sunset	1	0	right
a72f007f	House	Sunset	0	1	right
a72f007f	House	Monkey	1	0	right
a72f007f	Sunset	Flowers	0	1	left
a72f007f	Food	Sunset	0	1	right
a72f007f	Grass	House	1	0	left
