subjectID	optionA	optionB	quantityA	quantityB	sideA
ro_ge_4	quinine	water	0	31	right
ro_ge_4	quinine	water	2	40	left
ro_si_4	quinine	water	0	25	right
ro_si_4	quinine	water	3	41	left
ro_sw_4	quinine	water	3	40	right
ro_sw_4	quinine	water	4	57	left
ro_we_4	quinine	water	4	16	right
ro_we_4	quinine	water	1	19	left
sw_ge_4	quinine	water	0	40	right
sw_ge_4	quinine	water	3	32	left
sw_ro_4	quinine	water	3	53	right
sw_ro_4	quinine	water	4	19	left
sw_si_4	quinine	water	0	46	right
sw_si_4	quinine	water	2	3	left
sw_we_4	quinine	water	0	33	right
sw_we_4	quinine	water	3	35	left
we_ge_4	quinine	water	1	46	right
we_ge_4	quinine	water	1	17	left
we_si_4	quinine	water	3	36	right
we_si_4	quinine	water	1	36	left
we_sw_4	quinine	water	1	45	right
we_sw_4	quinine	water	2	45	left
ro_ge_4	AlmondMilk	HCl	56	2	left
ro_ge_4	AlmondMilk	HCl	82	0	right
ro_si_4	AlmondMilk	HCl	76	0	left
ro_si_4	AlmondMilk	HCl	81	2	right
ro_sw_4	AlmondMilk	HCl	51	4	left
ro_sw_4	AlmondMilk	HCl	87	2	right
ro_we_4	AlmondMilk	HCl	21	1	left
ro_we_4	AlmondMilk	HCl	35	0	right
sw_ge_4	AlmondMilk	HCl	35	1	left
sw_ge_4	AlmondMilk	HCl	48	3	right
sw_ro_4	AlmondMilk	HCl	72	0	left
sw_ro_4	AlmondMilk	HCl	54	3	right
sw_si_4	AlmondMilk	HCl	54	1	left
sw_si_4	AlmondMilk	HCl	45	2	right
sw_we_4	AlmondMilk	HCl	32	4	left
sw_we_4	AlmondMilk	HCl	14	0	right
we_ge_4	AlmondMilk	HCl	37	2	left
we_ge_4	AlmondMilk	HCl	36	3	right
we_si_4	AlmondMilk	HCl	48	3	left
we_si_4	AlmondMilk	HCl	43	2	right
we_sw_4	AlmondMilk	HCl	53	3	left
we_sw_4	AlmondMilk	HCl	50	0	right
ro_ge_4	HCl	quinine	15	0	left
ro_ge_4	HCl	quinine	30	4	right
ro_si_4	HCl	quinine	56	0	left
ro_si_4	HCl	quinine	38	5	right
ro_sw_4	HCl	quinine	76	12	left
ro_sw_4	HCl	quinine	74	4	right
ro_we_4	HCl	quinine	38	3	left
ro_we_4	HCl	quinine	43	1	right
sw_ge_4	HCl	quinine	38	1	left
sw_ge_4	HCl	quinine	36	2	right
sw_ro_4	HCl	quinine	36	0	left
sw_ro_4	HCl	quinine	32	3	right
sw_si_4	HCl	quinine	48	0	left
sw_si_4	HCl	quinine	17	1	right
sw_we_4	HCl	quinine	30	1	left
sw_we_4	HCl	quinine	30	3	right
we_ge_4	HCl	quinine	39	0	left
we_ge_4	HCl	quinine	27	2	right
we_si_4	HCl	quinine	59	1	left
we_si_4	HCl	quinine	1	36	right
we_sw_4	HCl	quinine	52	3	left
we_sw_4	HCl	quinine	58	1	right
ro_ge_4	AppleJuice	water	47	0	right
ro_ge_4	AppleJuice	water	8	14	left
ro_si_4	AppleJuice	water	57	0	right
ro_si_4	AppleJuice	water	37	14	left
ro_sw_4	AppleJuice	water	55	0	right
ro_sw_4	AppleJuice	water	37	8	left
ro_we_4	AppleJuice	water	40	0	right
