subjectID	optionA	optionB	quantityA	quantityB	side
igg	banana	NaCl	365	20	left
jos	grape	water	290	20	right
igg	banana	water	400	70	right
stu	grape	water	425	15	right
jos	banana	grape	250	20	right
han	NaCl	quinine	50	5	right
igg	grape	quinine	320	0	left
stu	NaCl	quinine	30	10	right
jos	NaCl	quinine	50	5	right
han	grape	NaCl	450	10	right
igg	quinine	water	15	170	left
stu	banana	quinine	330	15	left
jos	grape	NaCl	290	0	right
han	banana	water	500	10	right
igg	banana	quinine	430	5	left
stu	grape	quinine	300	10	left
jos	NaCl	water	10	70	left
han	NaCl	water	10	30	left
sun	grape	water	245	0	right
igg	NaCl	water	125	40	left
stu	grape	NaCl	320	5	right
jos	banana	water	410	10	right
han	grape	water	410	20	right
sun	banana	water	230	15	right
igg	grape	NaCl	295	80	right
stu	banana	grape	50	295	right
jos	quinine	water	20	120	left
sun	NaCl	quinine	25	15	right
igg	NaCl	quinine	215	15	right
stu	banana	NaCl	320	10	left
jos	grape	quinine	325	5	left
han	grape	quinine	375	5	left
sun	grape	quinine	195	20	left
igg	grape	water	335	105	right
jos	banana	quinine	350	0	left
han	banana	NaCl	440	15	left
sun	NaCl	water	0	65	left
igg	banana	grape	345	120	right
stu	banana	water	325	10	right
jos	banana	NaCl	365	10	left
han	banana	quinine	300	10	left
sun	banana	grape	385	50	right
igg	grape	NaCl	285	20	left
stu	NaCl	water	5	295	left
jos	grape	NaCl	360	10	left
sun	banana	quinine	235	10	left
igg	banana	NaCl	290	85	right
stu	quinine	water	5	230	left
jos	grape	quinine	310	10	right
han	quinine	water	5	30	left
igg	banana	water	360	10	left
jos	banana	quinine	315	20	right
sun	quinine	water	5	75	left
jos	banana	water	355	10	left
edg	grape	water	275	20	right
sun	grape	NaCl	295	10	right
igg	grape	quinine	260	5	right
jos	NaCl	water	10	50	right
stu	NaCl	quinine	10	20	left
edg	banana	water	315	60	right
sun	banana	NaCl	220	15	left
igg	banana	quinine	375	15	right
stu	quinine	water	10	135	right
edg	NaCl	water	50	145	left
sun	banana	NaCl	265	10	right
igg	NaCl	water	85	115	right
jos	NaCl	quinine	5	5	left
stu	banana	water	225	10	left
edg	NaCl	quinine	130	20	right
sun	NaCl	water	10	100	right
igg	NaCl	quinine	250	25	left
jos	banana	grape	315	20	left
stu	NaCl	water	20	205	right
sun	grape	NaCl	205	5	left
edg	banana	grape	50	250	right
igg	quinine	water	10	175	right
jos	banana	NaCl	380	5	right
sun	banana	water	345	10	left
edg	quinine	water	35	135	left
jos	quinine	water	10	70	right
sun	banana	quinine	270	10	right
edg	grape	NaCl	275	85	right
igg	grape	water	185	10	left
jos	grape	water	320	20	left
sun	grape	quinine	210	10	right
stu	banana	quinine	170	10	right
igg	banana	grape	225	50	left
sun	grape	water	195	15	left
edg	grape	quinine	295	15	left
stu	grape	NaCl	330	45	left
sun	banana	grape	35	255	left
edg	banana	NaCl	385	75	left
stu	grape	water	200	15	left
sun	NaCl	quinine	10	10	left
edg	banana	quinine	260	50	left
stu	grape	quinine	215	10	right
sun	quinine	water	10	55	right
edg	grape	quinine	220	30	right
stu	banana	grape	110	150	left
edg	banana	grape	85	70	left
han	banana	grape	45	100	right
edg	banana	water	110	55	left
han	grape	water	480	10	left
edg	grape	water	240	75	left
stu	banana	NaCl	180	15	right
edg	banana	quinine	195	45	right
edg	grape	NaCl	130	50	left
edg	NaCl	quinine	80	75	left
edg	NaCl	water	145	145	right
edg	banana	NaCl	125	25	right
han	quinine	water	10	10	right
edg	quinine	water	95	50	right
han	banana	quinine	320	10	right
han	banana	water	405	10	left
han	grape	quinine	500	10	right
han	banana	grape	35	385	left
han	NaCl	quinine	10	5	left
han	grape	NaCl	380	25	left
han	banana	NaCl	365	0	right
han	NaCl	water	20	10	right
