subjectID	optionA	optionB	quantityA	quantityB	sideA
8f2a6aa2	Lake	Frustrated	1	0	right
8f2a6aa2	Frustrated	Doctor	0	1	left
8f2a6aa2	Lake	Crow	1	0	right
8f2a6aa2	Lake	Cat	1	0	left
8f2a6aa2	Frustrated	Crow	0	1	left
8f2a6aa2	Frustrated	Fire	0	1	right
8f2a6aa2	Crow	Cat	1	0	right
8f2a6aa2	War	Frustrated	0	1	right
8f2a6aa2	War	Cat	0	1	right
8f2a6aa2	Crow	Fire	0	1	left
8f2a6aa2	Doctor	Fire	1	0	left
8f2a6aa2	War	Fire	0	1	right
8f2a6aa2	Cat	Fire	1	0	left
8f2a6aa2	War	Doctor	0	1	right
8f2a6aa2	Lake	Fire	1	0	left
8f2a6aa2	Frustrated	Cat	0	1	right
8f2a6aa2	Doctor	Crow	1	0	left
8f2a6aa2	Lake	Doctor	1	0	left
8f2a6aa2	War	Lake	0	1	left
8f2a6aa2	Doctor	Cat	1	0	right
8f2a6aa2	War	Crow	0	1	left
31f3dce8	Lake	Frustrated	1	0	right
31f3dce8	War	Lake	0	1	left
31f3dce8	Frustrated	Fire	0	1	right
31f3dce8	Crow	Cat	0	1	left
31f3dce8	Doctor	Fire	0	1	right
31f3dce8	Doctor	Cat	0	1	right
31f3dce8	Lake	Fire	1	0	left
31f3dce8	War	Frustrated	0	1	left
31f3dce8	Doctor	Crow	0	1	left
31f3dce8	Frustrated	Cat	0	1	left
31f3dce8	Crow	Fire	1	0	right
31f3dce8	Lake	Doctor	1	0	left
31f3dce8	Frustrated	Doctor	1	0	right
31f3dce8	Lake	Crow	1	0	right
31f3dce8	Cat	Fire	1	0	right
31f3dce8	War	Cat	0	1	right
31f3dce8	War	Fire	0	1	left
31f3dce8	War	Doctor	0	1	right
31f3dce8	War	Crow	0	1	right
31f3dce8	Frustrated	Crow	0	1	right
31f3dce8	Lake	Cat	1	0	left
a21a789a	Frustrated	Doctor	0	1	left
a21a789a	Lake	Fire	1	0	right
a21a789a	War	Fire	0	1	left
a21a789a	Cat	Fire	1	0	right
a21a789a	Crow	Cat	0	1	left
a21a789a	Doctor	Fire	1	0	right
a21a789a	War	Doctor	0	1	right
a21a789a	War	Frustrated	0	1	right
a21a789a	Doctor	Cat	1	0	left
a21a789a	War	Crow	0	1	right
a21a789a	Frustrated	Cat	0	1	right
a21a789a	War	Lake	0	1	left
a21a789a	Lake	Cat	1	0	left
a21a789a	Lake	Frustrated	1	0	right
a21a789a	Lake	Crow	1	0	right
a21a789a	Doctor	Crow	0	1	left
a21a789a	Frustrated	Fire	0	1	left
a21a789a	Lake	Doctor	1	0	left
a21a789a	War	Cat	0	1	left
a21a789a	Crow	Fire	1	0	right
a21a789a	Frustrated	Crow	0	1	left
c315d0d9	Lake	Doctor	1	0	left
c315d0d9	Lake	Fire	1	0	left
c315d0d9	Crow	Fire	0	1	right
c315d0d9	Doctor	Cat	0	1	right
c315d0d9	War	Lake	1	0	right
c315d0d9	War	Fire	1	0	right
c315d0d9	Frustrated	Crow	1	0	right
c315d0d9	Cat	Fire	1	0	right
c315d0d9	Lake	Cat	0	1	left
c315d0d9	War	Crow	1	0	left
c315d0d9	Crow	Cat	0	1	left
c315d0d9	Doctor	Crow	0	1	right
c315d0d9	Lake	Frustrated	0	1	left
c315d0d9	Doctor	Fire	0	1	left
c315d0d9	Frustrated	Cat	0	1	left
c315d0d9	War	Cat	1	0	left
c315d0d9	Frustrated	Doctor	1	0	right
c315d0d9	War	Doctor	1	0	right
c315d0d9	War	Frustrated	1	0	left
c315d0d9	Lake	Crow	1	0	left
c315d0d9	Frustrated	Fire	1	0	left
ab0c34ea	War	Frustrated	1	0	right
ab0c34ea	War	Cat	0	1	left
ab0c34ea	Cat	Fire	0	1	left
ab0c34ea	War	Fire	0	1	right
ab0c34ea	Frustrated	Doctor	0	1	right
ab0c34ea	War	Lake	0	1	left
ab0c34ea	Lake	Crow	1	0	left
ab0c34ea	Frustrated	Crow	0	1	right
ab0c34ea	Crow	Fire	1	0	left
ab0c34ea	War	Doctor	0	1	left
ab0c34ea	Frustrated	Fire	0	1	left
ab0c34ea	Doctor	Crow	0	1	left
ab0c34ea	Lake	Frustrated	1	0	left
ab0c34ea	Doctor	Fire	0	1	left
ab0c34ea	Doctor	Cat	1	0	left
