subjectID	optionA	optionB	quantityA	quantityB	sideA
110573c3	Frustrated	Fire	0	1	right
110573c3	War	Fire	0	1	left
110573c3	War	Doctor	0	1	left
110573c3	Doctor	Fire	1	0	left
110573c3	Lake	Doctor	0	1	left
110573c3	Frustrated	Doctor	0	1	right
110573c3	Doctor	Crow	1	0	right
110573c3	War	Cat	0	1	left
110573c3	Frustrated	Cat	0	1	left
110573c3	Frustrated	Crow	0	1	left
110573c3	Crow	Cat	0	1	left
110573c3	Doctor	Cat	0	1	right
110573c3	War	Crow	0	1	right
110573c3	Lake	Crow	1	0	right
110573c3	Crow	Fire	1	0	right
110573c3	War	Lake	0	1	left
110573c3	Lake	Fire	1	0	right
110573c3	Lake	Frustrated	1	0	left
110573c3	Cat	Fire	1	0	right
110573c3	Lake	Cat	0	1	left
110573c3	War	Frustrated	0	1	right
78e8e2f2	Frustrated	Doctor	0	1	left
78e8e2f2	Doctor	Fire	0	1	left
78e8e2f2	Lake	Frustrated	1	0	left
78e8e2f2	Frustrated	Crow	0	1	left
78e8e2f2	War	Doctor	0	1	right
78e8e2f2	War	Cat	0	1	left
78e8e2f2	Frustrated	Fire	0	1	right
78e8e2f2	Lake	Crow	1	0	left
78e8e2f2	Frustrated	Cat	0	1	right
78e8e2f2	War	Frustrated	0	1	left
78e8e2f2	Crow	Fire	1	0	left
78e8e2f2	Cat	Fire	1	0	right
78e8e2f2	Lake	Doctor	1	0	right
78e8e2f2	Doctor	Cat	0	1	left
78e8e2f2	War	Fire	0	1	right
78e8e2f2	Lake	Cat	1	0	right
78e8e2f2	Doctor	Crow	0	1	right
78e8e2f2	War	Lake	0	1	right
78e8e2f2	Lake	Fire	1	0	right
78e8e2f2	War	Crow	0	1	right
78e8e2f2	Crow	Cat	1	0	right
cbcbed11	War	Frustrated	0	1	left
cbcbed11	Doctor	Crow	0	1	right
cbcbed11	Frustrated	Crow	0	1	left
cbcbed11	Frustrated	Doctor	1	0	left
cbcbed11	Lake	Frustrated	1	0	left
cbcbed11	Doctor	Fire	0	1	right
cbcbed11	Lake	Doctor	1	0	left
cbcbed11	Frustrated	Fire	0	1	right
cbcbed11	Lake	Crow	1	0	left
cbcbed11	Crow	Cat	0	1	right
cbcbed11	War	Crow	0	1	right
cbcbed11	Lake	Cat	0	1	right
cbcbed11	War	Fire	0	1	left
cbcbed11	Lake	Fire	1	0	left
cbcbed11	Cat	Fire	1	0	left
cbcbed11	War	Doctor	0	1	left
cbcbed11	Frustrated	Cat	0	1	left
cbcbed11	Doctor	Cat	0	1	right
cbcbed11	War	Lake	0	1	right
cbcbed11	Crow	Fire	1	0	left
cbcbed11	War	Cat	0	1	left
cb0a93cf	Frustrated	Doctor	0	1	right
cb0a93cf	Lake	Crow	1	0	right
cb0a93cf	Doctor	Fire	0	1	left
cb0a93cf	Frustrated	Cat	0	1	right
cb0a93cf	Frustrated	Crow	0	1	right
cb0a93cf	War	Frustrated	0	1	right
cb0a93cf	Crow	Fire	1	0	right
cb0a93cf	War	Fire	0	1	right
cb0a93cf	Frustrated	Fire	0	1	left
cb0a93cf	Cat	Fire	1	0	right
cb0a93cf	Lake	Doctor	1	0	left
cb0a93cf	War	Lake	0	1	right
cb0a93cf	Lake	Fire	1	0	left
cb0a93cf	Lake	Frustrated	1	0	left
cb0a93cf	War	Cat	0	1	left
cb0a93cf	Lake	Cat	1	0	right
cb0a93cf	Doctor	Cat	0	1	left
cb0a93cf	War	Doctor	0	1	right
cb0a93cf	Crow	Cat	0	1	left
cb0a93cf	Doctor	Crow	0	1	right
cb0a93cf	War	Crow	0	1	right
36f1fbb9	Lake	Crow	1	0	right
36f1fbb9	Crow	Cat	0	1	right
36f1fbb9	Doctor	Cat	0	1	left
36f1fbb9	Frustrated	Crow	0	1	left
36f1fbb9	War	Lake	0	1	right
36f1fbb9	Lake	Doctor	1	0	left
36f1fbb9	War	Fire	0	1	right
36f1fbb9	Cat	Fire	1	0	right
36f1fbb9	War	Cat	0	1	left
36f1fbb9	Lake	Fire	1	0	left
